"Effective February 15, 2022 - freight prepaid is $600",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Part number, Size , February 15 2022 List ,Trade Net,Less than $600 Order,$600 or more order,Bulk Net Each, Bulk/ Pcs per pkg ,UPC Number 722170,,,,,
,,,,,,,,,,,,,
BITS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG357 NAIL BOMBER MOLYBDENUM COATED,,,,,,,,,,,,,
HEAVY DUTY SHIP AUGER BITS,,,,,,,,,,,,,
"8"" OAL x 5"" Twist Length",,,,,,,,,,,,,
792.1216,"3/4""", $4.79 , $4.07 , $2.15 , $1.94 ,,,79230,,,,,
792.1316,"13/16""", $4.95 , $4.21 , $2.23 , $2.00 ,,,79231,,,,,
792.1416,"7/8""", $5.07 , $4.31 , $2.28 , $2.05 ,,,79232,,,,,
792.1516,"15/16""", $5.63 , $4.79 , $2.54 , $2.28 ,,,79233,,,,,
792.1616,"1""", $5.70 , $4.84 , $2.56 , $2.31 ,,,79234,,,,,
792.1816,"1-1/8""", $6.27 , $5.33 , $2.82 , $2.54 ,,,79235,,,,,
792.2016,"1-1/4""", $6.71 , $5.70 , $3.02 , $2.72 ,,,79236,,,,,
792.2216,"1-3/8""", $7.39 , $6.28 , $3.33 , $2.99 ,,,79237,,,,,
792.2416,"1-1/2""", $8.79 , $7.47 , $3.95 , $3.56 ,,,79238,,,,,
,,,,,,,,,,,,,
792.6000P,6-pc set, $28.85 , $24.52 , $12.98 , $11.68 ,,,79241,,,,,
792.1300P,13-pc set, $58.46 , $49.69 , $26.31 , $23.68 ,,,79242,,,,,
,,,,,,,,,,,,,
"MAG790 SPADE BITS - 16"" OAL FORGED SPADE BITS",,,,,,,,,,,,,
790-0416,"1/4""", $12.98 , $11.03 , $5.84 , $5.26 ,,,79008,,,,,
790-0516,"5/16""", $12.98 , $11.03 , $5.84 , $5.26 ,,,79019,,,,,
790-0616,"3/8""", $12.98 , $11.03 , $5.84 , $5.26 ,,,79009,,,,,
790-0716,"7/16""", $12.98 , $11.03 , $5.84 , $5.26 ,,,79020,,,,,
790-0816,"1/2""", $12.98 , $11.03 , $5.84 , $5.26 ,,,79010,,,,,
790-0916,"9/16""", $12.98 , $11.03 , $5.84 , $5.26 ,,,79021,,,,,
790-1016,"5/8""", $13.53 , $11.50 , $6.09 , $5.48 ,,,79011,,,,,
790-1116,"11/16""", $13.53 , $11.50 , $6.09 , $5.48 ,,,79022,,,,,
790-1216,"3/4""", $13.53 , $11.50 , $6.09 , $5.48 ,,,79012,,,,,
790-1316,"13/16""", $13.53 , $11.50 , $6.09 , $5.48 ,,,79023,,,,,
790-1416,"7/8""", $15.88 , $13.50 , $7.15 , $6.43 ,,,79013,,,,,
790-1516,"15/16""", $15.88 , $13.50 , $7.15 , $6.43 ,,,79024,,,,,
790-1616,"1""", $15.88 , $13.50 , $7.15 , $6.43 ,,,79014,,,,,
790-1816,"1-1/8""", $15.88 , $13.50 , $7.15 , $6.43 ,,,79015,,,,,
790-2016,"1-1/4""", $17.46 , $14.84 , $7.86 , $7.07 ,,,79016,,,,,
790-2216,"1-3/8""", $17.46 , $14.84 , $7.86 , $7.07 ,,,79017,,,,,
790-2416,"1-1/2""", $17.46 , $14.84 , $7.86 , $7.07 ,,,79018,,,,,
,,,,,,,,,,,,,
MAG 785 MOLY COATED SELF FEED BITS,,,,,,,,,,,,,
785.1616,"1"" ", $57.43 , $48.81 , $25.84 , $23.26 ,,,78517,,,,,
785.1816,"1-1/8"" ", $58.06 , $49.35 , $26.13 , $23.51 ,,,78518,,,,,
785.2016,"1-1/4"" ", $59.59 , $50.65 , $26.82 , $24.13 ,,,78519,,,,,
785.2216,"1-3/8"" ", $61.48 , $52.26 , $27.67 , $24.90 ,,,78520,,,,,
785.2416,"1-1/2"" ", $62.62 , $53.22 , $28.18 , $25.36 ,,,78521,,,,,
785.2816,"1-3/4"" ", $65.12 , $55.35 , $29.30 , $26.37 ,,,78522,,,,,
785.3216,"2"" ", $68.33 , $58.08 , $30.75 , $27.67 ,,,78523,,,,,
785.3416,"2-1/8"" ", $71.07 , $60.41 , $31.98 , $28.78 ,,,78524,,,,,
785.3616,"2-1/4"" ", $73.88 , $62.80 , $33.25 , $29.92 ,,,78525,,,,,
785.4116,"2-9/16"" ", $76.98 , $65.43 , $34.64 , $31.18 ,,,78526,,,,,
785.4816,"3"" ", $156.53 , $133.05 , $70.44 , $63.40 ,,,78527,,,,,
785.5816,"3-5/8"" ", $180.41 , $153.35 , $81.18 , $73.06 ,,,78528,,,,,
785.7416,"4-5/8"" ", $251.95 , $214.16 , $113.38 , $102.04 ,,,78529,,,,,
,,,,,,,,,,,,,
