,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date: 05/13/22,,,,,CUSTOMER PRICE BOOK,,,,,,,,,,,,,,,
M & M ELECTRICAL SUPPLY,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Item Category Code,Item No.,,UPC Code,Description,,Price/E,List Price/E,Item Multipl. Group,,,Master Qty,Inner Qty,,,,,,,,
BX-FLEX-MC,106M,,751338105607,"2"" FLEX 90 MAL  5-PK",,28.8156,77.8800,FLXCNM90,,,5,5,,,,,,,,
BX-FLEX-MC,106MI,,751338105614,"2"" FLEX. 90DEG. MAL.INS.CONN. 5-PK",,36.0196,97.3502,FLXCNM90,,,5,5,,,,,,,,
BX-FLEX-MC,107,,751338104105,"2-1/2"" FLEX 90DEG CONN 5-PK",,59.4303,241.0373,FLXCN90-1,,,5,5,,,,,,,,
PVC,1070,,751338230712,"4"" PVC 2-HOLE STRAP 100-PK",,3.4598,9.2261,PVC,,,100,100,,,,,,,,
PVC,1071,,751338231528,"1/2"" 2PC EXPANSION COUP.25-PK",,20.6814,55.1504,PVC,,,25,25,,,,,,,,
PVC,1072,,751338231535,"3/4""2PC EXPANSION COUP.10-PK",,23.3771,62.3389,PVC,,,10,10,,,,,,,,
PVC,1073,,751338231542,"1"" 2PC EXPANSION COUP.10-PK",,23.5732,62.8619,PVC,,,10,10,,,,,,,,
PVC,1074,,751338231559,"1-1/4""2PC EXPANSION COUP.5PK",,25.1016,66.9377,PVC,,,5,5,,,,,,,,
PVC,1075,,751338231566,"1-1/2""PVC 2PC EXPANSION COUP 5PK",,25.8840,69.0241,PVC,,,5,5,,,,,,,,
PVC,1076,,751338231573,"2""PVC 2PC EXPANSION COUP25PK",,28.8367,76.8979,PVC,,,25,25,,,,,,,,
PVC,1077,,751338231580,"2-1/2""PVC 2PC EXPANSION COUP.12PK",,38.4675,102.5799,PVC,,,12,12,,,,,,,,
PVC,1078,,751338231597,"3"" PVC 2PC EXPANSION COUP.12PK",,49.5513,132.1368,PVC,,,12,12,,,,,,,,
PVC,1079,,751338233737,"3-1/2""2PC EXPANSION COUP.9PK",,81.4989,217.3303,PVC,,,9,9,,,,,,,,
BX-FLEX-MC,107M,,751338105706,"2-1/2"" FLEX 90 MAL 5-PK",,70.5795,190.7553,FLXCNM90-1,,,5,5,,,,,,,,
BX-FLEX-MC,107MI,,751338105713,"2-1/2""FLEX.90DEG.MAL.INS.CONN.5-PK",,88.2243,238.4441,FLXCNM90,,,5,5,,,,,,,,
BX-FLEX-MC,108,,751338104204,"3"" FLEX 90DEG CONN  2-PK",,80.2383,320.9531,FLXCN90-1,,,2,2,,,,,,,,
PVC,1080,,751338231610,"4""PVC 2PC EXPANSION COUP 6PK",,82.1509,219.0690,PVC,,,6,6,,,,,,,,
PVC,1080B,,751338836990,"6""PVC 2PC EXPANSION COUP 1-PK",,280.5511,748.1363,PVC,,,1,1,,,,,,,,
PVC,1081,,751338234079,"1/2"" PVC END CAP 100-PK",,1.1964,3.1904,PVC,,,100,100,,,,,,,,
PVC,1082,,751338230910,"3/4"" PVC END CAP 100-PK",,1.2299,3.2798,PVC,,,100,100,,,,,,,,
PVC,1083,,751338230927,"1"" PVC END CAP 50-PK",,1.6778,4.4742,PVC,,,50,50,,,,,,,,
PVC,1084,,751338230934,"1-1/4"" PVC END CAP 25-PK",,2.0686,5.5163,PVC,,,25,25,,,,,,,,
PVC,1085,,751338230941,"1-1/2"" PVC END CAP 25-PK",,3.2129,8.5677,PVC,,,25,25,,,,,,,,
PVC,1086,,751338230958,"2"" PVC END CAP 50-PK",,5.0855,13.5614,PVC,,,50,50,,,,,,,,
PVC,1087,,751338230965,"2-1/2"" PVC END CAP 25-PK",,8.0586,21.4896,PVC,,,25,25,,,,,,,,
PVC,1088,,751338230972,"3"" PVC END CAP 25-PK",,9.7538,26.0101,PVC,,,25,25,,,,,,,,
PVC,1089,,751338230989,"3-1/2"" PVC END CAP 25-PK",,13.9194,37.1184,PVC,,,25,25,,,,,,,,
