"MFR
No",Item,"Catalog
No",DESCRIPTION,"Quantity
Standard Pkg","Unit
Measure",DIST PRICE,TRADE PRICE,,,,
780730,00654,654,"4"" SQ 20AMP REC 1 19/32"" DIA REC CVR",50,C,$104.55,$209.10 ,,,,
780730,99656,656,"4"" SQ 1 TOGGLE  1 GFCI/DECORA CVR",50,C,$104.55,$209.10 ,,,,
780730,00657,657,"4"" SQ 1 DUPLEX 1 GFCI/DECORA CVR",50,C,$104.55,$209.10 ,,,,
780730,00658,658,"4"" SQ 1 TOGGLE 1 SINGLE RECP 1 13/32"" DIS REC CVR",50,C,$104.55,$209.10 ,,,,
780730,00659,659,"4"" SQ 1 DUPLEX 1 SINGLE RECP 1 13/32"" DIA REC CVR",50,C,$104.55,$209.10 ,,,,
780730,99660,660,"4"" SQ 30-60 AMP REC 2 7/16"" DIA",50,C,$104.55,$209.10 ,,,,
780730,18012,663,"4"" ROUND SWIVEL HANGER 1/2-3/4"" PIPE",25,C,$800.00,"$1,600.00 ",,,,
780730,18015,664,"4"" ROUND SWIVEL HANGER ""HANDS FREE""",25,C,"$1,500.00","$3,000.00 ",,,,
780730,18013,665,"4""SQ SWIVEL HANGER 1/2""-3/4""",25,C,$865.00,"$1,730.00 ",,,,
780730,18014,666,"4""SQ SWIVEL HANGER ""HANDS FREE""",25,C,"$1,400.00","$2,800.00 ",,,,
780730,18016,667,"5"" ROUND BLANK-UP CANAOPIES SCREW HOLES 2 3/4""CC",50,C,$148.50,$297.00 ,,,,
780730,18017,668,"5"" ROUND BLANK-UP CANOPIES SCREW HOLES 3-1/2""CC",50,C,$148.50,$297.00 ,,,,
780730,18020,680,HANDY BOX BLANK COVER,50,C,$29.23,$58.46 ,,,,
780730,18021,681,"HANDY BOX BLANK W/ 1/2"" KO",50,C,$29.23,$58.46 ,,,,
780730,18022,682,DUPLEX HANDY BOX COVER,50,C,$29.23,$58.46 ,,,,
780730,18023,683,TOGGLE HANDY BOX COVER,50,C,$29.23,$58.46 ,,,,
780730,18025,684,GFCI/DECORA HANDY BOX COVER,50,C,$48.00,$96.00 ,,,,
780730,18026,685,SINGLE RECP 1.4 DIA HANDY BOX COVER,50,C,$48.00,$96.00 ,,,,
780730,18027,686,POWER OUTLET 1.6 DIA HANDY BOX COVER,50,C,$48.00,$96.00 ,,,,
780730,18028,700,"4""SQ FLAT 1 DEVICE",50,C,$75.00,$150.00 ,1.36,,,
780730,18030,701,"4""SQ 1/4"" RAISED 1 DEVICE",50,C,$72.08,$144.16 ,,,,
780730,18031,702,"4"" SQ 1/2"" RAISED 1 DEVICE",50,C,$60.90,$121.80 ,,,,
780730,18032,703,"4"" SQ 5/8"" RAISED 1 DEVICE",50,C,$60.90,$121.80 ,,,,
780730,18033,704,"4"" SQ 3/4"" RAISED 1DEVICE",50,C,$65.21,$130.42 ,,,,
780730,18036,705,"4"" SQ 1 "" RAISED 1 DEVICE",25,C,$78.94,$157.88 ,,,,
780730,18038,706,"4"" SQ 1 1/4"" RAISED 1 DEVICE",25,C,$101.50,$203.00 ,,,,
780730,18040,707,"4"" SQ 1 1/2"" RAISED 1 DEVICE",25,C,$147.60,$295.20 ,,,,
780730,18041,708,"4"" SQ 2"" RAISED 1 DEVICE",25,C,$194.04,$388.08 ,,,,
780730,18044,710,"4"" SQ FLAT 2 DEVICE",50,C,$85.80,$171.60 ,,,,
780730,18045,711,"4"" SQ 1 /4"" RAISED 2 DEVICE",50,C,$78.00,$156.00 ,,,,
780730,18046,712,"4"" SQ 1/2"" RAISED 2 DEVICE",50,C,$64.80,$129.60 ,,,,
780730,18047,713,"4""SQ 5/8"" RAISED 2 DEVICE",50,C,$69.60,$139.20 ,,,,
780730,18050,714,"4""SQ 3/4"" RAISED 2 DEVICE",50,C,$75.60,$151.20 ,,,,
780730,18051,715,"4"" SQ 1"" RAISED 2 DEVICE",25,C,$172.80,$345.60 ,,,,
780730,18052,716,"4"" SQ 1 1/4"" RAISED 2 DEVICE",25,C,$187.20,$374.40 ,,,,
780730,18053,717,"4"" SQ 1 1/2"" RAISED 2 DEVICE",25,C,$218.40,$436.80 ,,,,
780730,18056,718,"4"" SQ 2"" RAISED 2 DEVICE",25,C,$249.60,$499.20 ,,,,
780730,00725,725,"0-B 1/2"" STAINLESS CONDUIT HANGER",100,C,$149.94,$299.88 ,,,,
780730,00726,726,"1-B 3/4"" STAINLESS CONDUIT HANGER",50,C,$179.92,$359.84 ,,,,
780730,00727,727,"2-B 1"" STAINLESS CONDUIT HANGER",50,C,$212.52,$425.04 ,,,,
780730,00728,728,"2 -1/2-B 1 1/4""EMT STAINLESS CONDUIT HANGER",25,C,$219.17,$438.34 ,,,,
780730,00729,729,"3-B  1 1/4"" RIGID 1 1/2"" EMT STAINLESS CONDUIT HANGER",25,C,$224.48,$448.96 ,,,,
780730,00730,730,4-B 1-1/2 RIGID STAINLESS CONDUIT HANGER,25,C,$345.35,$690.70 ,,,,
780730,00731,731,"5-B 2"" STAINLESS CONDUIT HANGER",25,C,$438.33,$876.66 ,,,,
780730,00732,732,"6-B 2 1/2"" STAINLESS CONDUIT HANGER",25,C,$491.46,$982.92 ,,,,
780730,00733,733,"7-B 3"" STAINLESS CONDUIT HANGER",25,C,$575.38,"$1,150.76 ",,,,
780730,00734,734,"8-B 3 1/2"" STAINLESS CONDUIT HANGER",20,C,$634.91,"$1,269.82 ",,,,
780730,00735,735,"9-B 4"" STAINLESS CONDUIT HANGER",20,C,$850.08,"$1,700.16 ",,,,
780730,00800,800,4 11/16 FLAT 1 DEVICE,50,C,$145.00,$290.00 ,,,,
780730,00801,801,"4 11/16  1 /4"" RAISED 1 DEVICE",50,C,$150.00,$300.00 ,,,,
780730,00802,802,"4 11/16   1 /2"" RAISED 1 DEVICE",50,C,$91.08,$182.16 ,,,,
780730,00803,803,"4 11/16   5/8"" RAISED 1 DEVICE",50,C,$135.29,$270.58 ,,,,
780730,00804,804,"4 11/16   3/4"" RAISED 1 DEVICE",50,C,$136.52,$273.04 ,,,,
780730,00805,805,"4 11/16   1 "" RAISED 1 DEVICE",25,C,$148.10,$296.20 ,,,,
780730,00806,806,"4 11/16   1 -1/4"" RAISED 1 DEVICE",25,C,$181.23,$362.46 ,,,,
780730,00807,807,"4 11/16   1- 1/2 ""RAISED 1 DEVICE",25,C,$313.80,$627.60 ,,,,
780730,00808,808,"4 11/16    2"" RAISED 1 DEVICE",25,C,$320.56,$641.12 ,,,,
780730,00810,810,4 11/16  FLAT 2 DEVICE,50,C,$170.45,$340.90 ,,,,
780730,00811,811,"4 11/16  1/4"" RAISED 2 DEVICE",50,C,$179.18,$358.36 ,,,,
780730,00812,812,"4 11/16  1/2"" RAISED 2 DEVICE",50,C,$128.20,$256.40 ,,,,
780730,00813,813,"4 11/16  5/8"" RAISED 2 DEVICE",50,C,$154.62,$309.24 ,,,,
780730,00814,814,"4 11/16  3/4"" RAISED 2 DEVICE",50,C,$165.00,$330.00 ,,,,
780730,00815,815,"4 11/16  1"" RAISED 2 DEVICE",25,C,$187.50,$375.00 ,,,,
780730,00816,816,"4 11/16  1-1/4"" RAISED 2 DEVICE",25,C,$244.20,$488.40 ,,,,
780730,00817,817,"4 11/16 1-1/2"" RAISED 2 DEVICE",25,C,$259.20,$518.40 ,,,,
780730,00818,818,"4 11/16 2"" RAISED 2 DEVICE",25,C,$374.40,$748.80 ,,,,
780730,10851,851,"1/2"" 3 PIECE MALLEABLE IRON RIGID COUPLING",100,C,$201.60,$403.20 ,,,,
780730,10852,852,"3/4"" 3 PIECE MALLEABLE IRON RIGID COUPLING",100,C,$241.00,$482.00 ,,,,
780730,10853,853,"1"" 3 PIECE MALLEABLE IRON RIGID COUPLING",50,C,$363.83,$727.66 ,,,,
780730,10854,854,"1-1/4"": 3 PIECE MALLEABLE IRON RIGID COUPLING",25,C,$716.63,"$1,433.26 ",,,,
780730,10855,855,"1-1/2"" 3 PIECE MALLEABLE IRON RIGID COUPLING",25,C,$771.75,"$1,543.50 ",,,,
780730,10856,856,"2"" 3 PIECE MALLEABLE IRON RIGID COUPLING",10,C,"$1,155.00","$2,310.00 ",,,,
780730,10857,857,"2-1/2"" 3 PIECE MALLEABLE IRON RIGID COUPLING",10,C,"$2,205.00","$4,410.00 ",,,,
780730,10858,858,"3"" 3 PIECE MALLEBLE IRON RIGID COUPLING",10,C,"$3,150.00","$6,300.00 ",,,,
780730,10859,859,"3-1/2"" 3 PIECE MALLEABLE IRON RIGID COUPLING",5,C,"$4,410.00","$8,820.00 ",,,,
780730,10860,860,"4"" 3 PIECE MALLEABLE IRON RIGID COUPLING",5,C,"$5,460.00","$10,920.00 ",,,,
780730,10861,861,"5"" 3 PIECE MALLEABLE IRON RIGID COUPLING",5,C,"$7,875.00","$15,750.00 ",,,,
780730,10863,863,"1/2""  M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT",50/250,C,$178.50,$357.00 ,,,,
780730,10864,864,"3/4"" M.I. COMPRESSION CONNECTOR THREADLESS CONDUIT",50/250,C,$231.53,$463.06 ,,,,
780730,10865,865,"1"" M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT",40,C,$319.73,$639.46 ,,,,
780730,10866,866,"1-1/4"" M.I. COMPRESSION CONNECTOR THREADLESS CONDUIT",30,C,$560.70,"$1,121.40 ",,,,
780730,10867,867,"1-1/2"" M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT",20,C,$766.50,"$1,533.00 ",,,,
780730,10868,868,"2"" M.I. COMPRESSION CONNECTOR THREADLESS CONDUIT",15,C,"$1,155.00","$2,310.00 ",,,,
780730,10869,869,"2-1/2"" M.I. COMPRESSION CONNECTOR THREADLESS CONDUIT",15,C,"$4,057.20","$8,114.40 ",,,,
780730,10870,870,"3"" M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT",15,C,"$5,166.00","$10,332.00 ",,,,
780730,10871,871,"3-1/2"" M .I. COMPRESSION CONNECTOR THREADLESS CONDUIT",10,C,"$6,772.50","$13,545.00 ",,,,
780730,10872,872,"4""  M.I. COMPRESSION CONNECTOR THREADLESS CONDUIT",10,C,"$9,538.20","$19,076.40 ",,,,
780730,10873,873,"5"" M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT",5,C,"$18,317.00","$36,634.00 ",,,,
780730,10874,874,"6"" M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT",2,C,"$22,400.00","$44,800.00 ",,,,
780730,10875,875,"1/2"" M. I. COMPRESSION COUPLING THREADLESS CONDUIT",50.250,C,$246.75,$493.50 ,,,,
780730,10876,876,"3/4"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT",25/125,C,$281.40,$562.80 ,,,,
780730,10877,877,"1"" M .I. COMPRESSION COUPLING THREADLESS CONDUIT",50,C,$472.50,$945.00 ,,,,
780730,10878,878,"1-1/4"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT",25,C,$787.50,"$1,575.00 ",,,,
780730,10879,879,"1-1/2"" M. I. COMPRESSION COUPLING THREADLESS CONDUIT",20,C,"$1,071.00","$2,142.00 ",,,,
780730,10880,880,"2"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT",10,C,"$1,575.00","$3,150.00 ",,,,
780730,10881,881,"2-1/2"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT",10,C,"$5,838.00","$11,676.00 ",,,,
780730,10882,882,"3"" M. I. COMPRESSION COUPLING THREADLESS CONDUIT",10,C,"$6,037.50","$12,075.00 ",,,,
