Pricing File,,,,,,,,,,,,,,,,,,,,,
Pricing Type,Item Number,Item Description,UPC Code,Pricing Customer,SPA or CDC,Start Date,End Date,Currency Code,Quantity Break1,Price Break1,Quantity Break2,Price Break2,Quantity Break3,Price Break3,Quantity Break4,Price Break4,Quantity Break5,Price Break5,,,
Region Pricing 250,FC04-20P01,CABLE-BD1 & BR1 DISPLAY,078275150676,0,,20220404,99999999,USD,1,6.83,0,0,0,0,0,0,0,0,,,
Customer Discount,FD12HC,12HR S/W W/O HLD,078275005075,0,D2,20220404,20221231,USD,1,28.58,0,0,0,0,0,0,0,0,,,
Region Pricing 250,FD12HH,12HR S/W T/S W/HOLD SPST,078275185708,0,,20220404,99999999,USD,1,28.86,0,0,0,0,0,0,0,0,,,
Region Pricing 250,FD12HHW,12HR S/W T/W W/HOLD SPST,078275185715,0,,20220404,99999999,USD,1,28.86,0,0,0,0,0,0,0,0,,,
Customer Discount,FD12HWC,12HR S/W W/O/HOLD,078275005082,0,D2,20220404,20221231,USD,1,28.58,0,0,0,0,0,0,0,0,,,
Region Pricing 250,FD15MAC,15MIN S/W T/S W/O HLDSPST,078275072916,0,,20220404,99999999,USD,1,24.45,0,0,0,0,0,0,0,0,,,
Customer Discount,FD15MC,15M S/W W/O HOLD,078275005013,0,D2,20220404,20221231,USD,1,19.2,0,0,0,0,0,0,0,0,,,
Customer Discount,FD15MHW,15MIN S/W T/S W/HOLD SPST,078275185555,0,D2,20220404,20221231,USD,1,19.2,0,0,0,0,0,0,0,0,,,
Region Pricing 250,FD15MP,PLATE ONLY FOR FD15M,078275110090,0,,20220404,99999999,USD,1,2.9,0,0,0,0,0,0,0,0,,,
Region Pricing 250,FD15MPW,PLATE ONLY FOR FD15MW,078275110106,0,,20220404,99999999,USD,1,2.9,0,0,0,0,0,0,0,0,,,
Customer Discount,FD15MWC,15M S/W W/O HOLD,078275005020,0,D2,20220404,20221231,USD,1,19.2,0,0,0,0,0,0,0,0,,,
Customer Discount,FD2H,2HR S/W T/S W/O HOLD SPST,078275073999,0,D2,20220404,20221231,USD,1,28.58,0,0,0,0,0,0,0,0,,,
Customer Discount,FD2HW,2HR S/W T/S W/O HOLD SPST,078275073975,0,D2,20220404,20221231,USD,1,28.58,0,0,0,0,0,0,0,0,,,
