"ARLINGTON INDUSTRIES, INC.",,,,,,,,,,,,,,
DISTRIBUTOR NET PRICE SHEET,,,,,,,,,,,,,,
"EFFECTIVE JULY 1, 2022",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,ITEM #,DESCRIPTION,UPC,UNIT,STD, PRICE / C ,,,,,,,,
21,4204A,"1-1/4"" 2 SCW INS FL CN",01899704209,5,25, $621.06 ,,,,,,,,
40,440,"1/2"" PLASTIC BUSHING",01899700440,100,1000, $7.64 ,,,,,,,,
50,4400,"1/2"" SNAP-IN BUSHING",01899704400,100,1000, $10.27 ,,,,,,,,
50,4401,"3/4"" SNAP-IN BUSHING",01899704401,100,1000, $13.46 ,,,,,,,,
50,4402,"1"" SNAP-IN BUSHING",01899704402,50,500, $20.00 ,,,,,,,,
50,4403,"1-1/4"" SNAP-IN BUSHING",01899704403,25,250, $29.56 ,,,,,,,,
50,4404,"1-1/2"" SNAP-IN BUSHING",01899704404,25,250, $31.50 ,,,,,,,,
50,4405,"2"" SNAP-IN BUSHING",01899704405,20,200, $68.43 ,,,,,,,,
50,4406,"2 1/2"" SNAP-IN BUSHING",01899704409,20,200, $117.33 ,,,,,,,,
40,441,"3/4"" PLASTIC BUSHING",01899700441,100,1000, $10.43 ,,,,,,,,
40,442,"1"" PLASTIC BUSHING",01899700442,50,500, $16.65 ,,,,,,,,
40,443,"1-1/4"" PLASTIC BUSHING",01899700443,25,250, $21.54 ,,,,,,,,
40,444,"1-1/2"" PLASTIC BUSHING",01899700444,25,250, $28.29 ,,,,,,,,
40,445,"2"" PLASTIC BUSHING",01899700445,25,125, $50.03 ,,,,,,,,
40,446,"2-1/2"" PLASTIC BUSHING",01899700446,10,100, $100.10 ,,,,,,,,
40,447,"3"" PLASTIC BUSHING",01899700447,10,50, $113.10 ,,,,,,,,
40,448,"3-1/2"" PLASTIC BUSHING",01899700448,10,50, $130.51 ,,,,,,,,
40,449,"4"" PLASTIC BUSHING",01899700449,10,50, $152.28 ,,,,,,,,
40,4491,"5"" PLASTIC BUSHING",01899704491,5,5, $924.44 ,,,,,,,,
40,4492,"6"" PLASTIC BUSHING",01899704492,5,5," $1,653.08 ",,,,,,,,
27,450,"1/2""GRD BUSH LAY-IN LG",01899700450,25,100, $328.87 ,,,,,,,,
22,4501,"3/8"" 45 DEG FLEX CONN",01899704501,50,500, $284.26 ,,,,,,,,
54,4501ST,"3/8"" 45 DEG FLEX CN ST",01899706002,50,500, $299.35 ,,,,,,,,
22,4502,"1/2"" 45 DEG FLEX CONN",01899704502,25,250, $390.87 ,,,,,,,,
54,4502ST,"1/2"" 45 DEG FLEX CN ST",01899706004,25,250, $413.76 ,,,,,,,,
27,451,"3/4""GRD BUSH LAY-IN LG",01899700451,25,100, $351.38 ,,,,,,,,
27,452,"1""GRD BUSHG LAY-IN LUG",01899700452,25,100, $379.48 ,,,,,,,,
27,453,"1-1/4""GR.BUSH LAY-INLG",01899700453,20,80, $477.83 ,,,,,,,,
27,453100,"1-1/4""GRD BUS W/OPN LG",01899701453,20,20, $632.43 ,,,,,,,,
27,454,"1-1/2""GR.BUSH.LAY-INLG",01899700454,20,80, $544.13 ,,,,,,,,
27,454100,"1-1/2""GRD BUS W/OPN LG",01899701454,20,20, $702.72 ,,,,,,,,
27,455,"2"" GRD.BUSH.LAY-IN LUG",01899700455,10,50, $730.80 ,,,,,,,,
27,455100,"2"" GRD BUS W/OPN LG",01899701455,10,10, $734.42 ,,,,,,,,
27,456,"2-1/2""GR.BUSH.LAY-INLG",01899700456,5,20," $1,124.32 ",,,,,,,,
27,456250,"2-1/2""GRD BUS W/OPN LG",01899701456,10,10," $1,475.69 ",,,,,,,,
27,457,"3"" GR.BUSHG-LAY-IN LUG",01899700457,5,20," $1,531.89 ",,,,,,,,
27,457250,"3"" GRD BUS W/OPN LG",01899701457,10,10," $1,827.06 ",,,,,,,,
27,458,"3-1/2""GR.BUSH.LAY-INLG",01899700458,5,20," $1,658.39 ",,,,,,,,
27,458250,"3-1/2""GRD BUS W/OPN LG",01899701458,5,5," $2,108.13 ",,,,,,,,
27,459,"4""GRD.BUSHG-LAY-IN LUG",01899700459,5,20," $1,985.00 ",,,,,,,,
27,4591,"5""GRD.BUSHG-LAY-IN LUG",01899704591,5,5," $3,794.61 ",,,,,,,,
27,4591250,"5""GRD.BUSHG-LAY-IN LUG",01899745912,5,5," $4,778.37 ",,,,,,,,
27,4592,"6""GRD.BUSHG-LAY-IN LUG",01899704592,5,5," $5,621.63 ",,,,,,,,
27,4592250,"6""GRD.BUSHG-LAY-IN LUG",01899745922,5,5," $7,027.05 ",,,,,,,,
27,459250,"4"" GRD BUS W/OPN LG",01899701459,5,5," $2,585.94 ",,,,,,,,
4,501,"1/2"" CONDUIT NIPPLE",01899700501,100,1000, $41.71 ,0.96,0.82,,,,,,
111,5010A,"1/2"" SNAP-TO-IT W/ LOC",01899701299,25,250, $106.28 ,,,,,,,,
111,5010AST,SNAP 2IT CONN W/INS TH,01899700517,25,250, $106.28 ,,,,,,,,
3,501L,"1/2"" LONG COND NIPPLE",01899750130,100,1000, $121.27 ,,,,,,,,
4,502,"3/4"" CONDUIT NIPPLE",01899700502,50,500, $91.06 ,1.82,,,,,HD 2.36,,
3,502L,"3/4"" LONG COND NIPPLE",01899750230,50,500, $148.66 ,,,,,,,,
4,503,"1"" CONDUIT NIPPLE",01899700503,25,100, $163.24 ,3.26,,,,,,,
3,503L,"1"" LONG COND NIPPLE",01899750330,25,100, $254.32 ,,,,,,,,
4,504,"1-1/4"" CONDUIT NIPPLE",01899700504,10,100, $284.59 ,3.88,,,,,HD  3.90,,
4,505,"1-1/2"" CONDUIT NIPPLE",01899700505,10,100, $371.86 ,,,,,,HD 5.20,,
73,505010A,"1/2"" SNAP-TO-IT DUPLEX",01899776214,25,25, $262.27 ,,,,,,,,
111,505010AST,"3/4"" SNAP-TO-IT DUPLEX",01899750720,25,25, $269.99 ,,,,,,,,
4,506,"2"" CONDUIT NIPPLE",01899700506,10,50, $569.20 ,8.55,8.26,7.98,,,HD  8.20,,
4,507,"2-1/2"" CONDUIT NIPPLE",01899700507,10,30, $782.47 ,,,,,,,,
4,508,"3"" CONDUIT NIPPLE",01899700508,10,10," $1,073.36 ",,,,,,,,
4,509,"3-1/2"" CONDUIT NIPPLE",01899700509,10,10," $1,893.69 ",,,,,,,,
73,5090AST,90 DEG SNAP2IT SNAP IN,01899705090,25,250, $297.83 ,,,,,,,,
10,50LPCGBAG,"1/2"" LOW PROG CG /BAG",01899755080,1,500, $200.89 ,,,,,,,,
4,510,"4"" CONDUIT NIPPLE",01899700510,5,5," $3,946.42 ",,,,,,,,
4,511,"5"" CONDUIT NIPPLE",01899700511,1,1," $13,183.53 ",,,,,,,,
4,512,"6"" CONDUIT NIPPLE",01899700512,1,1," $15,178.44 ",,,,,,,,
41,522,"3/4""X1/2"" RED. BUSHING",01899700522,50,500, $120.69 ,,,,,,,,
41,523,"1""X1/2"" RED. BUSHING",01899700523,25,100, $186.48 ,,,,,,,,
41,524,"1""X3/4"" RED. BUSHING",01899700524,25,100, $186.48 ,,,,,,,,
41,525,"1-1/4""X1/2"" RED. BUSH.",01899700525,25,25, $420.51 ,,,,,,,,
41,526,"1-1/4""X3/4"" RED. BUSH",01899700526,25,25, $420.51 ,,,,,,,,
41,527,"1-1/4""X1"" RED. BUSHING",01899700527,25,25, $420.51 ,,,,,,,,
41,528,"1-1/2""X1/2"" RED. BUSH.",01899700528,25,25, $530.21 ,,,,,,,,
41,529,"1-1/2""X3/4"" RED. BUSH.",01899700529,25,25, $530.21 ,,,,,,,,
41,530,"1-1/2""X1"" RED. BUSHING",01899700530,25,25, $530.21 ,,,,,,,,
41,531,"1-1/2""X1-1/4"" RED.BUSH",01899700531,25,25, $530.21 ,,,,,,,,
41,532,"2""X1/2"" RED. BUSHING",01899700532,10,10," $1,133.54 ",,,,,,,,
41,533,"2""X3/4"" RED. BUSHING",01899700533,10,10," $1,133.54 ",,,,,,,,
41,534,"2""X1"" RED. BUSHING",01899700534,10,10," $1,133.54 ",,,,,,,,
41,535,"2""X1-1/4"" RED. BUSHING",01899700535,10,10," $1,030.49 ",,,,,,,,
41,536,"2""X1-1/2"" RED. BUSHING",01899700536,10,10," $1,133.54 ",,,,,,,,
58,60HC,COLLAPSIBLE COVER,01899700686,1,4," $1,276.20 ",,,,,,,,
58,60HW,COLLAPSIBLE COVER,01899700684,1,4," $1,276.20 ",,,,,,,,
58,60VC,COLLAPSIBLE COVER,01899700682,1,4," $1,276.20 ",,,,,,,,
58,60VW,COLLAPSIBLE COVER,01899700680,1,4," $1,276.20 ",,,,,,,,
14,610,PORCELAIN WIRE HOLDER,01899700610,5,5," $1,229.75 ",15.96,14.76,,,,R4200,,HD 12.43
14,611,CHANNEL BAR,01899700611,5,5, $563.86 ,,,,,,,,
