Item,Item Description,"Plat Plus 
Net Price",Cost Unit of Measure,STD PACK Qty,Bag QTY, Weight per 100 , Suggested Trade , Suggested Retail Price ,Stocking Indicator,ABC Code,Class,NAED/UPC Number,UNSPSC,Brand,,,,,,
12-084BX,WingGard ULTRA Yellow #84 50  000/Box                       ,"$1,337.04",BX,1,50000, 22.8 ,"$1,734.36","$1,927.07",N ,D  ,STC,032076075668,39121445       ,Gardner Bender,,,,,,
12-086BU,WingGard ULTRA Red #86 22500  /Barrel                       ,$876.12,BL,1,22500," 18,399.9 ","$1,136.47","$1,262.75",N ,D  ,WIC,032076121860,39121445       ,Gardner Bender,,,,,,
12-086BX,WingGard ULTRA Red #8626000   /Box                          ,$841.21,BX,1,26000," 14,600.0 ","$1,091.19","$1,212.43",N ,D  ,WIC,032076075675,39121445       ,Gardner Bender,,,,,,
12-089BX,WingGard Blue #89 12000/Box                                 ,"$1,092.52",BX,1,11000," 20,000.0 ","$1,417.18","$1,574.64",N ,D  ,STC,032076075682,39121445       ,Gardner Bender,,,,,,
12-095BX,GreenGard Green #95 26000/B   ox                            ,"$1,239.01",BX,1,26000," 14,900.0 ","$1,607.20","$1,785.78",N ,D  ,STC,032076075699,39121445       ,Gardner Bender,,,,,,
1215,CO2 Seal-off 1/2in-1in Pipe 1/Box 1Boxs/Master              ,$123.03,BX,1,1, 38.0 ,$159.59,$177.32,N ,D  ,FSA,032076306267,20121423       ,Gardner Bender,,,,,,
1216,CO2 Seal-off 1-1/4in- 2-1/2in Pipe 1/Box 1Boxs/Master       ,$137.13,BX,1,1, 74.1 ,$177.88,$197.64,N ,D  ,FSA,032076306274,20121423       ,Gardner Bender,,,,,,
12-1H1BU,Hex-Lok ULTRA Tan H1 28000/Ba rrel                          ,"$1,142.21",BL,1,28000," 13,800.0 ","$1,481.63","$1,646.26",N ,D  ,WIC,032076037970,39121445       ,Gardner Bender,,,,,,
12-1H1BX,Hex-Lok ULTRA Tan H1 33000/B  ox                            ,"$1,346.16",BX,1,33000," 12,497.5 ","$1,746.19","$1,940.21",N ,D  ,STC,032076075705,39121445       ,Gardner Bender,,,,,,
1225A,CO2 Valve  1/Box  1Boxs/Master                              ,$215.20,BX,1,1, 196.5 ,$279.16,$310.18,N ,D  ,FSA,032076038878,40141651       ,Gardner Bender,,,,,,
12-2H2BU,Hex-Lok Gray H2 16000/Barrel                                ,"$2,181.64",BL,1,16000," 16,399.9 ","$2,829.95","$3,144.38",N ,D  ,STC,032076037987,39121445       ,Gardner Bender,,,,,,
1250STK,LED Stick Light 12w 5000k 1100lm E26 120V  5/Box 10 Box     ,$15.65,BX,10,5, 108.3 ,$24.14,$26.82,N ,D  ,LMP,752560400317,39112013       ,Bergen,,,,,,
12568,Hose 1.5in ID x 8ft L 1/Box 1Boxs/Master                    ,$123.00,BX,1,1, 230.9 ,$159.55,$177.28,N ,D  ,FSA,032076306311,40142002       ,Gardner Bender,,,,,,
126025,Super Blower Hose 2.5in ID x 25ft L 1/Box 1Boxs/Master      ,$388.54,BX,1,1," 1,130.0 ",$503.99,$559.99,N ,D  ,FSA,032076306328,27112701       ,Gardner Bender,,,,,,
13-003,WireGard Orange GB-3 500/Bag   5Bags/Master                 ,$14.83,BG,5,500, 160.4 ,$19.23,$21.37,N ,D  ,STC,032076130039,39121445       ,Gardner Bender,,,,,,
13-004,WireGard 22-10 AWG Yellow G   B-4 500/Bag 5Bags/Master      ,$15.80,BG,5,500, 239.0 ,$20.50,$22.78,N ,D  ,STC,032076130046,39121445       ,Gardner Bender,,,,,,
13-006,WireGard Red GB-6 250/Bag5B   ags/Master                    ,$10.66,BG,5,250, 184.0 ,$13.82,$15.36,N ,D  ,STC,032076130060,39121445       ,Gardner Bender,,,,,,
13-084,WingGard ULTRA Yellow #84 50  0/Bag 5Bags/Master            ,$16.71,BG,5,500, 175.0 ,$21.66,$24.07,N ,D  ,WIC,032076130848,39121445       ,Gardner Bender,,,,,,
13-086,WingGard ULTRA Red #86500/Ba  g                             ,$21.33,BG,5,500, 301.6 ,$27.67,$30.74,N ,D  ,WIC,032076130862,39121445       ,Gardner Bender,,,,,,
13-089,WingGard Blue #89 100/Bag5B   ags/Master                    ,$11.12,BG,5,100, 181.6 ,$14.42,$16.02,N ,D  ,WIC,032076130893,39121445       ,Gardner Bender,,,,,,
13-095,GreenGard Green #95 500/Bag    5Bags/Master                 ,$25.98,BG,5,500, 296.0 ,$33.70,$37.44,N ,D  ,STC,032076130954,39121445       ,Gardner Bender,128.96m,,,,,
13-1G1,Uni-Lok Yellow G1 500/Bag 5Bags/Master                      ,$29.68,BG,5,500, 175.0 ,$38.49,$42.77,N ,D  ,STC,032076152437,39121445       ,Gardner Bender,,,,,,
