"MORRIS PRICING EFFECTIVE May 13, 2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bar Code#,key,UNSPS Code,Page#,Morris Cat #,Min Piece   Order Qty,Item Description,Price Per,Broken Case Price,PVC Cement                                 1-19 Cases                            Ships UPS,PVC Cement            Pickup/Will Call,PVC Cement                     20+ Cases                  Assorted ,Qty Per Case,,,,,,,
174,601986100663,144110,26121638,D17,10066,100,12-10 1/4 Vinyl Ins Ring Term,Piece,0.1906,,,,,,,,,,,
175,601986100663B,144110,26121638,D17,10066B,500,12-10 1/4 Vinyl Ins Ring Term,Piece,0.1715,,,,,,,,,,,
176,601986100687,144110,26121638,D17,10068,100,12-10 5/16 Vinyl Ins Ring Term,Piece,0.2114,,,,,,,,,,,
177,601986100700,144110,26121638,D17,10070,100,12-10 3/8 Vinyl Ins Ring Term,Piece,0.2114,,,,,,,,,,,
178,601986100700B,144110,26121638,D17,10070B,500,12-10 3/8 Vinyl Ins Ring Term,Piece,0.1904,,,,,,,,,,,
179,601986100724,144110,26121638,D17,10072,100,12-10 1/2 Vinyl Ins Ring Term,Piece,0.2714,,,,,,,,,,,
180,601986100748,144110,26121638,D17,10074,100,12-10 9/16 Vinyl Ins Ring Term,Piece,0.6575,,,,,,,,,,,
181,601986100762,144110,26121638,D17,10076,100,12-10 5/8 Vinyl Ins Ring Term,Piece,0.6643,,,,,,,,,,,
182,601986100786,144110,26121638,D17,10078,100,12-10 3/4 Vinyl Ins Ring Term,Piece,0.6643,,,,,,,,,,,
183,601986101103,144110,26121638,D19,10110,100,22-16 #4 Vinyl Spade Term,Piece,0.0861,,,,,,,,,,,
184,601986101127,144110,26121638,D19,10112,100,22-16 #6 Vinyl Spade Term,Piece,0.0861,,,,,,,,,,,
185,601986101127B,144110,26121638,D19,10112B,1000,22-16 #6 Vinyl Spade Term,Piece,0.0776,,,,,,,,,,,
186,601986101141,144110,26121638,D19,10114,100,22-16 #8 Vinyl Spade Term,Piece,0.0861,,,,,,,,,,,
