Item Number,UPC Code,List Price Per 100,Net Price Per 100,Carton Qty,Carton Wt,Description,,,,,,,
FB-7N,10085339972379,"7,866.25","5,058.78",6,10.98,FLOOR BOX ROUND FLIP LID NICKEL,,,,,,,
FB-7NCVR,10085339972461,"4,898.06","3,673.54",1,1.00,FLOOR BOX ROUND FLIP LID NICKEL COVER,,,,,,,
FB-8,10085339972393,"9,264.69","5,958.12",6,10.98,FLOOR BOX ROUND FLIP LID LOW VOLTAGE BRASS,,,,,,,
FB-8CVR,10085339972485,"5,069.36","3,802.02",1,1.00,FLOOR BOX ROUND FLIP LID LOW VOLTAGE BRASS COVER,,,,,,,
FB-8DB,10085339972416,"11,100.15","7,138.51",6,10.98,FLOOR BOX ROUND FLIP LID LOW VOLTAGE DARK BRONZE,,,,,,,
FB-8DBCVR,10085339972508,"6,467.80","4,850.85",1,1.00,FLOOR BOX ROUND FLIP LID LOW VOLTAGE DARK BRONZE COVER,,,,,,,
FB-8N,10085339972409,"9,963.91","6,407.79",6,10.98,FLOOR BOX ROUND FLIP LID LOW VOLTAGE NICKEL,,,,,,,
FB-8NCVR,10085339972492,"5,768.58","4,326.43",1,1.00,FLOOR BOX ROUND FLIP LID LOW VOLTAGE NICKEL COVER,,,,,,,
FB-BRPLG,10085339941375,626.28,469.71,1,0.10,FLOOR BOX THREADED  BRASS PLUG KIT,,,,,,,
FB-BRPLGLV,10085339990847,874.03,655.52,1,0.10,FLOOR BOX LOW VOLTAGE PLUG BRASS,,,,,,,
FB-CAK,10085339994791,690.92,518.19,6,2.28,CONCRETE ADAPTER KIT,,,,,,,
FB-DBPLG,10085339996054,815.29,611.46,1,0.10,FLOOR BOX THREADED DARK BRONZE PLUG KIT,,,,,,,
FB-DBPLGLV,10085339990854,"1,223.64",917.73,1,0.10,FLOOR BOX LOW VOLTAGE PLUG DARK BRONZE,,,,,,,
FB-NPLG,10085339941382,722.64,541.98,1,0.10,FLOOR BOX THREADED NICKEL PLUG KIT,,,,,,,
FB-NPLGLV,10085339990861,926.47,694.85,1,0.10,FLOOR BOX LOW VOLTAGE PLUG NICKEL,,,,,,,
GRD STRAP,10085339880209,67.73,50.80,100,16.00,ACCESSORY GROUND,,,,,,,
H9319=,10085339101014,157.31,101.16,25,2.25,HANDY BOX COVER SWITCH,,,,,,,
H9320=,10085339101021,132.43,85.17,25,2.00,COVER SWITCH,,,,,,,
H9322=,10085339101038,135.55,87.17,25,2.00,COVER SWITCH,,,,,,,
LED-1,10085339984389,"2,809.00","1,806.47",5,3.85,7 INCH LED LOW-PROFILE LUMINAIRE W MOTION SENSOR - DO NOT REORDER,,,,,,,
LH-11P,10085339870002,345.51,166.04,48,12.48,LAMPHOLDER KEYLESS 4 SCREWS,,,,,,,
LH-11WP,10085339870019,407.22,217.13,48,13.44,LAMPHOLDER KEYLESS 1PW 7 IN WIRE,,,,,,,
LH-12P,10085339870026,518.25,301.41,48,13.92,LAMPHOLDER 3FT PULL CHAIN,,,,,,,
LH-12WP,10085339870033,592.30,344.83,48,14.88,LAMPHOLDER 3 FT PL CHAIN 7IN WIRE,,,,,,,
LH-13P,10085339870040,962.49,426.58,48,17.28,LAMPHOLDER 3FT PULL CHAIN GROUNDED,,,,,,,
