Complete Price Report,"August 01, 2022",,,,,,,,,,,,,,,,
Customer Name,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
"City, State","NASHUA, NH",,,,,,,,,,,,,,,,
Customer Account Number,23485,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CATALOG NUMBER,MATERIAL DESC,LIST PRICE,CUSTOMER PRICE,MULTIPLIER,UOM,MPG GRP,MPG Desc,STD PACK Q,UNIT WT IN,CARTON WT,UPC NUMBER,Special Nets,,,Lowes,,
1301-7LA-SPL,Switch Toggle SP 15A 120V Grd LA,$0.92,$0.87,0.95,PE,WE,Residential Switches,80,,0,032664582417,,,,,,
1301-7LTLABX,Switch Toggle SP  LT 15A 120V Grd AL,$6.43,$4.83,Net Price,PE,WE,Residential Switches,100,10,0,032664583230,,,,,,
1301-7LTVBOX,Switch Toggle SP  LT 15A 120V Grd IV,$6.43,$4.83,Net Price,PE,WE,Residential Switches,100,10,0,032664519451,,,,,,
1301-7LTWBOX,Switch Toggle SP  LT 15A 120V Grd WH,$6.43,$4.83,Net Price,PE,WE,Residential Switches,100,10,0,032664519468,,,,,,
1301-7V,Switch Toggle SP 15A 120V Grd IV,$0.92,$0.56,Net Price,PE,WE,Residential Switches,100,10,0,032664750885,,,,,,
1301-7V-10-L,Switch Toggle SP 15A 120V Grd IV 10 pack,$9.26,$8.80,0.95,PE,WE,Residential Switches,5,,5,032664749667,,,,,,
1301-7V-SP-L,Switch Toggle SP 15A 120V Grd IV,$0.92,$0.87,0.95,PE,WE,Residential Switches,80,,0,032664308307,,,,,,
1301-7W,Switch Toggle SP 15A 120V Grd WH,$0.92,$0.56,Net Price,PE,WE,Residential Switches,100,10,0,032664750878,,,,0.86,6.20/10,
1301-7W-10-L,Switch Toggle SP 15A 120V Grd WH 10 pack,$9.26,$8.80,0.95,PE,WE,Residential Switches,10,,10,032664749674,,,,,,
1301-7W-SP-L,Switch Toggle SP 15A 120V Grd WH,$0.92,$0.87,0.95,PE,WE,Residential Switches,80,,0,032664149207,,,,,,
1301-9A,SWITCH TOGGLE SP 15A 120V AG AL,$1.22,$1.03,Net Price,PE,WE,Residential Switches,100,,0,032664737169,,,,,,
1301-9B,SWITCH TOGGLE SP 15A 120V AG BR,$1.22,$1.03,Net Price,PE,WE,Residential Switches,100,,0,032664737176,,,,,,
1301-9BK,SWITCH TOGGLE SP 15A 120V AG BK,$1.22,$1.16,0.95,PE,WE,Residential Switches,100,10,0,032664745409,,,,,,
1301-9LA,SWITCH TOGGLE SP 15A 120V AG LA,$1.22,$1.03,Net Price,PE,WE,Residential Switches,100,,0,032664737183,,,,,,
1301-9V,SWITCH TOGGLE SP 15A 120V AG IV,$1.22,$1.03,Net Price,PE,WE,Residential Switches,100,,0,032664737190,,,,,,
1301-9W,SWITCH TOGGLE SP 15A 120V AG WH,$1.22,$1.03,Net Price,PE,WE,Residential Switches,100,,0,032664737206,,,,,,
1301B,Switch Toggle SP 15A 120V NonGrd BR,$0.88,$0.84,0.95,PE,WE,Residential Switches,100,10,0,032664191008,,,,,,
1301BK,Switch Toggle SP 15A 120V NonGrd BK,$0.88,$0.84,0.95,PE,WE,Residential Switches,100,10,0,032664745386,,,,,,
1301V,Switch Toggle SP 15A 120V NonGrd IV,$0.88,$0.84,0.95,PE,WE,Residential Switches,100,10,0,032664191107,,,,,,
1301W,Switch Toggle SP 15A 120V NonGrd WH,$0.88,$0.84,0.95,PE,WE,Residential Switches,100,10,0,032664149009,,,,,,
1303-7A,Switch Toggle 3-Way 15A 120V Grd AL,$1.77,$1.27,Net Price,PE,WE,Residential Switches,100,10,0,032664543784,,,,,,
1303-7B,Switch Toggle 3-Way 15A 120V Grd BR,$1.77,$1.27,Net Price,PE,WE,Residential Switches,100,10,0,032664308802,,,,,,
1303-7B-BOX,Switch Toggle 3-Way 15A 120V Grd BR,$1.77,$1.27,Net Price,PE,WE,Residential Switches,100,10,0,032664186707,,,,,,
1303-7BK,Switch Toggle 3-Way 15A 120V Grd BK,$1.77,$1.27,Net Price,PE,WE,Residential Switches,100,10,0,032664745430,,,,,,
1303-7BK-SP-L,Switch Toggle 3-Way 15A 120V Grd BK,$1.77,$1.68,0.95,PE,WE,Residential Switches,12,,0,032664752681,,,,,,
1303-7LA,Switch Toggle 3-Way 15A 120V Grd LA,$1.77,$1.27,Net Price,PE,WE,Residential Switches,100,10,0,032664750922,,,,,,
1303-7LA-10-L,Switch Toggle 3-Way 15A 120V Grd LA 10PK,$17.63,$16.75,0.95,PE,WE,Residential Switches,5,,5,032664749698,,,,,,
1303-7LA-SPL,Switch Toggle 3-Way 15A 120V Grd LA,$1.77,$1.68,0.95,PE,WE,Residential Switches,60,,0,032664582424,,,,,,
1303-7LA-SPL2,Switch Toggle 3-Way 15A 120V Grd LA,$1.77,$1.68,0.95,PE,WE,Residential Switches,35,,0,032664746949,,,,,,
1303-7LTLABX,Switch Toggle 3-Way LT 15A 120V Grd LA,$8.05,$5.24,Net Price,PE,WE,Residential Switches,100,10,0,032664583247,,,,,,
1303-7LTV-SP,Switch Toggle 3-Way LT 15A 120V Grd IV,$8.05,$5.24,Net Price,PE,WE,Residential Switches,15,,0,032664524714,,,,,,
1303-7LTVBOX,Switch Toggle 3-Way LT 15A 120V Grd IV,$8.05,$5.24,Net Price,PE,WE,Residential Switches,100,10,0,032664519475,,,,,,
