Manufacturer,UPC,Catalog Number,Description,Carton QTY,Unit Measure, List Price , Net Price ,Special Net Price,Special Net Price 2,Special Net Price 3
A&G,,529,"3-B 1 1/4""RIGID 1 1/2"" EMT CONDUIT HANGER",50,C, $66.72 , $33.36 ,,,
A&G,,530,"4-B 1 1/2"" RIGID CONDUIT HANGER",50,C, $96.96 , $48.48 ,,,
A&G,,531,"5-B 2"" CONDUIT HANGER",25,C, $109.08 , $54.54 ,,,
A&G,,532,"6-B 2 1/2"" CONDUIT HANGER",25,C, $162.10 , $81.05 ,,,
A&G,,533,"7-B  3"" CONDUIT HANGER",25,C, $207.40 , $103.70 ,,,
A&G,,534,"8-B 3 1/2"" CONDUIT HANGER",20,C, $209.98 , $104.99 ,,,
A&G,,535,"9-B 4"" CONDUIT HANGER",20,C, $237.60 , $118.80 ,,,
A&G,,551,"1/2"" RIGID STEEL ONE HOLE STRAP",100,C, $19.78 , $9.89 ,,,
A&G,,552,"3/4"" RIGID STEEL ONE HOLE STRAP",100,C, $25.30 , $12.65 ,,,
A&G,,553,"1"" RIGID STEEL ONE HOLE STRAP",50,C, $33.00 , $16.50 ,,,
A&G,,554,"1 1/4"" RIGID STEEL ONE HOLE STRAP",50,C, $42.68 , $21.34 ,,,
A&G,,555,"1 1/2"" RIGID STEEL ONE HOLE STRAP",50,C, $63.90 , $31.95 ,,,
A&G,,556,"2 "" RIGID STEEL ONE HOLE STRAP",50,C, $81.30 , $40.65 ,,,
